"","station_european_code","year","gwr","obs","nfold"
"1","AT30201",2010,24.2120695810891,17.253,1
"2","AT31406",2010,23.5434530184921,30.156,1
"3","AT4S156",2010,29.4172722463887,22.666,1
"4","AT60198",2010,27.9391584230788,22.445,1
"5","AT60164",2010,42.4979235546254,51.298,1
"6","AT60139",2010,32.0770501338708,31.434,1
"7","AT72223",2010,71.1386430063764,50.316,1
"8","AT30301",2010,18.6596609240155,16.125,1
"9","AT72227",2010,26.0499206608318,40.234,1
"10","AT52000",2010,35.6213698405795,47.917,1
"11","AT52100",2010,18.1238799577688,15.283,1
"12","AT60179",2010,29.7981834400004,20.515,1
"13","AT72110",2010,40.2877447292175,43.617,1
"14","AT60119",2010,24.2722175479726,19.639,1
"15","AT72538",2010,18.502994214857,24.807,1
"16","AT60142",2010,24.6026911037682,20.728,1
"17","AT60141",2010,21.9302772593283,27.502,1
"18","AT72912",2010,17.8561955517774,14.191,1
"19","AT4S431",2010,47.9161051756896,48.324,1
"20","AT60156",2010,11.7873719590769,4.369,1
"21","AT2SP10",2010,17.7745221669753,12.736,1
"22","AT32701",2010,34.1493716408979,23.963,1
"23","AT2SP18",2010,32.7687732924447,24.835,1
"24","AT4S407",2010,27.6685742859636,18.214,1
"25","AT90FLO",2010,44.1771928769495,31.753,1
"26","AT90MBA",2010,45.6874533877524,57.802,1
"27","AT900ZA",2010,39.9305875790897,23.809,1
"28","AT72530",2010,29.2543781021322,31.857,1
"29","AT60114",2010,23.5984649581912,20.65,1
"30","BELGK09",2010,23.8393196540357,28.074,1
"31","BELML01",2010,36.1552272260931,33.425,1
"32","BELSZ02",2010,28.3063425019962,27.716,1
"33","BETWOL1",2010,67.6383060263363,39.285,1
"34","BETM802",2010,41.1790020678618,43.954,1
"35","BETN016",2010,22.1307076969831,22.659,1
"36","BETN046",2010,29.8205198463742,22.887,1
"37","BETR010",2010,37.8172578678255,30.937,1
"38","BETR821",2010,32.2132754279389,30.22,1
"39","BETR831",2010,32.727393370392,33.874,1
"40","BETR891",2010,28.515567722173,39.893,1
"41","BETR892",2010,28.500432154112,38.873,1
"42","BETN113",2010,11.1610782167835,9.998,1
"43","BETN132",2010,14.8960633811709,12.711,1
"44","BETM705",2010,29.7391737343383,27.718,1
"45","BETE009",2010,29.2800893716593,25.252,1
"46","CH0045A",2010,18.9315213308678,16.076,1
"47","CH0037A",2010,27.1352101093516,20.714,1
"48","CH0043A",2010,28.5823545406693,25.652,1
"49","CH0011A",2010,45.5820701690366,33.021,1
"50","CH0044A",2010,68.8626339282673,45.695,1
"51","CH0010A",2010,45.5190201049436,32.814,1
"52","DENW094",2010,29.5301043990344,18.435,1
"53","DESN001",2010,23.9337437271639,26.327,1
"54","DEBE062",2010,14.0346690032637,13.315,1
"55","DEBE068",2010,39.0233324814892,27.943,1
"56","DEHE046",2010,9.77243062634693,10.186,1
"57","DESN004",2010,24.4881292648926,22.497,1
"58","DEBY010",2010,44.4557993895838,31.981,1
"59","DEST015",2010,16.3747216693069,15.697,1
"60","DENW062",2010,32.3501413259098,29.828,1
"61","DESN006",2010,30.31013077389,28.876,1
"62","DEBY012",2010,28.8622145064556,29.626,1
"63","DESN083",2010,33.2026772786699,44.758,1
"64","DEBB064",2010,24.7671602964301,17.977,1
"65","DEBB044",2010,30.2063230255947,39.999,1
"66","DEHE001",2010,40.9523822629669,27.243,1
"67","DESN012",2010,31.1677006159762,21.612,1
"68","DESL003",2010,23.1021578855573,20.734,1
"69","DESN084",2010,43.9527110564908,50.016,1
"70","DENW112",2010,47.1686744678689,43.456,1
"71","DENW102",2010,36.6422423962393,35.505,1
"72","DENW283",2010,32.4474636372324,33.662,1
