"var_name","vi"
"ROADS_EU_50p",57141.5909522016
"no2_10MACC",44186.2284589945
"ROADS_EU_20p",28905.3491066475
"pop2011",22515.4294492445
"MAJRDS_EUp",14125.5936321371
"ROADS_EU_10p",11382.7023564426
"MAJRDS_EU_1p",11104.4149897278
"ROADS_EU_2p",6859.0698118462
"ROADS_EU_1p",5917.41071349753
"clc10_10p",5113.66308399767
"DEHM_NO2_2010",4917.7904788906
"ROADS_EUp",4708.74782290403
"clc10_8p",4529.91865615764
"MAJRDS_EU_2p",4452.20083318499
"ROADS_EU_3p",4190.18671926953
"no2_10SAT",4027.73925972911
"clc10_25p",4002.22878199561
"alt_t",3603.28914013726
"MAJRDS_EU_100p",3524.10037974016
"ROADS_EU_100p",3359.05176911741
"MAJRDS_EU_20p",3301.31592935642
"clc10_12p",3003.09893946647
"RES_25",2889.27693809049
"MAJRDS_EU_50p",2748.75621706297
"clc10_18p",2569.58794259377
"ROADS_EU_4p",2483.77799800076
"clc3_100p",2478.80721740663
"RES_80",2389.2255549621
"RES_35",2326.09403205586
"ROADS_EU_7p",2298.2401696074
"ROADS_EU_5p",2272.89389933512
"clc3_30p",2249.31515890821
"clc10_20p",2137.94928474736
"RES_20",2121.71662192975
"clc10_15p",2029.66019174884
"clc3_50p",2008.81050353285
"clc3_25p",1936.32080516479
"clc3_40p",1892.88518537629
"clc14_100p",1858.97930722642
"clc10_70p",1792.31761881077
"RES_70",1709.39748635366
"clc10_100p",1677.82206575578
"clc14_40p",1675.42808334315
"RES_60",1675.40740066806
"clc14_50p",1656.71072062396
"clc3_70p",1614.07757739973
"clc14_60p",1614.04201919286
"clc10_80p",1588.69788551657
"RES_100",1580.82341605795
"clc3_35p",1570.88808716257
"clc10_7p",1558.84369905816
"clc10_60p",1558.55401535587
"RES_50",1556.96366133993
"RES_18",1553.34964897646
"clc3_60p",1527.0240816721
"clc10_6p",1520.93102779429
"clc10_5p",1505.91137486937
"clc14_70p",1493.60691665349
"MAJRDS_EU_10p",1491.62456906911
"clc14_35p",1460.14014530677
"RES_15",1440.64391570105
"clc3_80p",1406.90084854741
"RES_30",1388.05936415295
"RES_40",1379.1173388665
"clc10_40p",1363.84616052201
"clc10_50p",1326.69976396299
"clc3_20p",1300.75711382432
"clc10_35p",1294.68853974306
"RES_12",1261.9921910165
"clc14_80p",1246.35034340625
"MAJRDS_EU_7p",1229.5378186594
"MAJRDS_EU_3p",1146.0368491428
"RES_10",1126.6807064386
"MAJRDS_EU_5p",1096.20364294367
"RES_8",1078.39139751303
"clc10_4p",1073.89258068071
"clc10_30p",1072.24145198443
"clc3_18p",1028.2978757897
"MAJRDS_EU_4p",1001.79722406363
"clc3_15p",984.294217475451
"clc14_30p",923.808770594635
"RES_5",869.367247425204
"RES_7",849.433051402525
"RES_6",840.205794902845
"clc7_10p",815.85612098938
"clc14_25p",763.165283032487
"clc14_20p",729.594506615889
"clc14_18p",666.505842821923
"clc14_15p",638.949448685292
"clc14_12p",615.198199985712
"RES_4",601.294231059843
"clc3_10p",517.038722040469
"clc3_12p",502.144608016949
"clc14_10p",474.47152437286
"clc7_8p",465.574679906825
"clc5_100p",441.020873042708
"RES_3",433.732643614318
"clc10_3p",407.708964612186
"clc5_25p",398.698602096606
"clc14_8p",364.943015741792
"clc5_50p",337.874368574164
"clc3_8p",300.930020099591
"RES_2",298.223283043429
"clc3_7p",277.403432411538
"clc5_80p",276.659941816435
"clc5_35p",259.781456502524
"clc10_2p",253.257753132654
"clc5_60p",244.009183050577
"clc5_70p",239.796395941809
"clc7_4p",236.210641533373
"clc14_7p",235.965827333395
"clc14_6p",226.706451197761
"clc5_20p",226.53841492828
"clc7_7p",221.356312972381
"clc5_40p",215.468636445126
"clc3_6p",214.173514161538
"clc14_5p",213.920709590647
"clc5_18p",209.979744649136
"clc3_4p",183.553202211791
"RES_1",173.996900027304
"clc5_30p",170.013162208676
"clc7_2p",169.83357419294
"clc3_5p",157.325577666779
"clc14_4p",137.854043857834
"clc7_5p",137.745083883029
"clc7_6p",133.89916079654
"clc3_3p",131.01486820456
"clc7_3p",120.08490832434
"clc5_15p",112.990509188225
"clc10_1p",105.371638848733
"clc3_2p",96.1725321277072
"clc5_12p",95.8904425387283
"clc5_10p",92.0394118071019
"clc14_3p",91.6191286300334
"clc5_8p",53.938380132717
"clc3_1p",52.5208105748915
"clc14_2p",46.745456081331
"clc5_6p",45.7371443207676
"RES",42.9968746562288
"clc14_1p",37.448549700979
"clc5_7p",34.9631037887359
"clc5_3p",34.6737730507229
"clc5_5p",34.6379754248828
"clc5_4p",22.6270548532829
"clc7_1p",21.146687477601
"clc10p",18.8157743177761
"clc3p",16.6763244095524
"clc14p",11.6726142020812
"clc5_2p",4.04800548533575
"clc5p",3.2411782934865
"clc7p",2.00411857316278
"clc5_1p",1.60529163224646
